"pi","gamma","phi","sa"
21.9051167171518,0.461629468666139,0.50223112190283,0.457886167194887
19.9611680472962,0.56010908448275,0.557862742421532,0.427987943755841
20.1349830689149,0.479805246045283,0.483622748615676,0.556407605423601
19.055155453717,0.503732810428714,0.467199091938372,0.532860739054927
18.9505012180973,0.592138054160993,0.577075093055443,0.57419708281192
20.7668825503617,0.497414833564281,0.483034220512411,0.492955456619452
20.654317686026,0.548937320724774,0.430070507230582,0.472531732198829
19.2041097952445,0.570282325615743,0.515096806605572,0.461869728705335
18.3875511404204,0.520598088749215,0.590583507530841,0.442328987961695
20.9370314312986,0.562130180514715,0.542660344204068,0.493500726909112
20.9516441716412,0.519007123620436,0.503547422731332,0.459495450592837
19.6781840763167,0.466915097932715,0.526708442359324,0.532938475534794
20.4690514953661,0.468320913971206,0.504142207441496,0.592030019161598
20.7563808508701,0.493972743446692,0.498477089981594,0.549943696992153
21.2666317328687,0.395332982409205,0.480666935733317,0.525369013480219
20.6165899490538,0.512214834970794,0.561426725041409,0.496309310379347
19.6398395013293,0.538625745251622,0.490814726617022,0.516893362833705
19.6930767123125,0.461644948727336,0.443685046153793,0.50059575490809
21.354187697465,0.548507207076333,0.567746185665107,0.537596183961308
20.7797083648618,0.486995252557728,0.52252031936263,0.574672298044892
20.5940440986545,0.49593422918864,0.478354428359808,0.393391308341812
19.9070691203842,0.488596498517958,0.563895258907903,0.516661701082759
19.6343810284905,0.596749334960114,0.534385255993028,0.452723174229279
21.2249925300154,0.575537917594826,0.545654323333506,0.51196224530625
20.3945838108272,0.606110098189846,0.398946185838693,0.535356422133107
20.4242054243119,0.488197663231397,0.539840189992296,0.459277948327115
19.8880926536931,0.37591490309674,0.47166648054216,0.532210873650034
19.2482066622111,0.495890008344599,0.468810157411581,0.488033081954522
19.0389735634656,0.531619945207353,0.529067632143283,0.418775302266525
19.9613751174036,0.546962849666086,0.517482505240657,0.546898228616044
19.4574321437104,0.55572936601806,0.421802257269869,0.558502175746527
20.5951495708092,0.512001728413293,0.504032330594373,0.52956479888685
19.8044453633896,0.500914414699127,0.50548100799047,0.548787721141145
21.9881170646113,0.539391630666413,0.466993124786457,0.594417141560114
18.1063383391034,0.502340309404236,0.467212565508759,0.584098579925582
19.2706302121137,0.516068359015706,0.504518163319893,0.479759120402119
19.487754972786,0.418823354387033,0.444637360453016,0.454480855085917
18.4655309146712,0.495753196004684,0.372735544470619,0.522094482395785
20.5625629684942,0.508612580203821,0.512481907972848,0.443182494689138
18.6982718633563,0.543372750871529,0.488413605822921,0.453067306890298
