"nj","na"
15.2635598834604,48.6853979621083
33.3688069880009,34.4207039754838
40.0845379754901,15.3113700915128
27.7381093613803,44.6849578991532
28.5469692852348,14.0271497145295
47.0397385396063,48.933069081977
44.0553262270987,38.4729882050306
11.7798885237426,48.9180537778884
40.2283431962132,40.9893577173352
31.7214070633054,31.7985965125263
12.7102474868298,41.5774533245713
36.631838241592,42.1644792985171
41.2992524541914,27.1714066620916
12.9393859021366,25.0756558217108
27.2091910243034,34.0261999331415
32.6810454204679,39.5527573954314
40.9735946264118,21.668995693326
29.493014216423,38.8398764841259
33.6671834904701,10.9167446568608
39.3134506884962,22.1842770278454
30.7781796623021,45.6202297471464
26.4660025574267,41.3426631595939
31.2275080289692,20.0054125022143
48.3353060111403,44.5907435100526
42.9160936456174,29.0305841993541
19.090073807165,40.3594443202019
38.380008013919,40.006793839857
28.8265330065042,12.1913874801248
36.4783503953367,45.2325765416026
38.6825401522219,34.8860521707684
26.4790518488735,21.4798281155527
19.1299061663449,12.7322517894208
36.5145030524582,37.2907555103302
24.969431431964,37.9326859861612
26.7932971008122,37.0648178271949
36.5411547757685,15.0777020119131
14.3078089412302,42.3224137816578
26.2648656964302,40.0377011951059
20.3340942692012,41.4951510541141
21.4886899944395,28.2903942558914
