"pi","gamma","phi","sa"
19.976519626254,0.488718793054466,0.456133966852874,0.532874293165616
20.1771585880542,0.478870626989283,0.493212330436601,0.509613908683034
20.1199274402913,0.500991169788223,0.509665683303248,0.491240189821187
20.0804510618248,0.48759018776355,0.482307860169,0.505860828799745
20.1522464594593,0.529706635096078,0.493034158987813,0.519717218276004
20.001947118461,0.493169091373744,0.494060148976227,0.492720177014364
19.9781688790983,0.476199206102029,0.470472400553335,0.503702323469744
20.1379750881524,0.549444290267921,0.511982745391758,0.502069369626109
20.029778870114,0.493242943323613,0.503240593431536,0.496513676064757
19.847458072492,0.507405145912808,0.532099376396963,0.483149302281296
19.9203254417299,0.476599845504,0.48421310061964,0.502467703089385
19.8705060317738,0.491393686234609,0.517474992716512,0.507431326331805
20.0799363697849,0.499850474691879,0.488624294478787,0.494841090279106
20.0410141582782,0.48888502481567,0.507548244591264,0.500367712767919
20.1263286859102,0.497818476692389,0.484675244572577,0.507613521739313
20.0627965575008,0.475174620273617,0.490312106233629,0.493510075908217
20.1715351484807,0.538735657951542,0.514107018037512,0.532431145421173
20.077296116876,0.492919643794835,0.497919513018314,0.517585840135543
20.1053613155356,0.499006804482549,0.499831628890678,0.496771397753226
20.289438479548,0.478847990781011,0.493038958004913,0.537383701757196
20.1164764563568,0.503845461007676,0.523874053481694,0.48230640383454
19.8916004042768,0.499013365054706,0.479198113602816,0.469018448192922
20.1255659114637,0.487079976947363,0.511919675930935,0.519070467501958
20.2139940678179,0.472298887271628,0.502665498421705,0.508718643729235
19.9274807392742,0.49094924435911,0.467622354721999,0.483572295582281
20.3238505058408,0.493379200529185,0.485747484628752,0.494764498032963
20.2070625804615,0.50096304148667,0.488790003967132,0.502010322618832
20.0691212631628,0.485344139330608,0.500016393739093,0.491756488533505
20.1479936106285,0.490016878643568,0.529897855567236,0.517412151917665
19.9327105488295,0.488880788888263,0.476603126148935,0.514975844715542
20.1739917036094,0.485141101352778,0.526241776343499,0.514147320076657
20.0705744903433,0.505889894013212,0.512037186546767,0.500630215320677
19.9104779751239,0.485550412206778,0.512511001743261,0.494439404450212
20.1211435018611,0.51226725268688,0.475884458359777,0.505673036652366
19.9846388322235,0.501369473843116,0.50379149307052,0.508055998681473
20.0123985226899,0.489023322765107,0.518013245280754,0.493400344232023
20.0692886655638,0.484252765565015,0.503235425863232,0.489390230640845
20.2331940854403,0.510191196951877,0.509922084195518,0.503201294587853
20.2038070429939,0.519140017778472,0.484919727944365,0.510673324522417
20.0669798172629,0.491232184752423,0.471574206273795,0.530509189772905
