"nj","na"
13.9018083922565,11.4215714950114
27.2029090765864,11.8196780607104
15.362630514428,13.4728034306318
29.3610001634806,22.7330487687141
28.0141162034124,14.4105976913124
44.3698916304857,24.8757330700755
10.6525827851146,18.5642988421023
34.5555350277573,23.0697047989815
28.9731654059142,33.3068263251334
21.2581658549607,27.8786726109684
44.4185330532491,12.559798322618
31.6841619927436,18.4903269447386
37.2664958331734,16.2682482320815
19.4306456763297,14.802782991901
35.6651533674449,46.8645905517042
24.7091675270349,40.5509225931019
14.0008036885411,46.1746443994343
14.5392913091928,26.6996931098402
33.673615641892,10.0688249338418
27.2425045352429,31.3021458871663
45.8806752599776,23.38393419981
42.9653972666711,43.2977219391614
33.8791423849761,43.8601275347173
40.1153082679957,49.4367625750601
29.7340005636215,45.6102835852653
12.6479292660952,43.9114286750555
27.3448759969324,27.9180826991796
33.8141887821257,49.8303574044257
27.048100233078,21.6151456627995
33.6940766591579,27.7388596814126
13.2555716019124,47.6417943555862
32.5875805225223,27.6561132073402
43.0273987073451,15.950786145404
44.2176659684628,22.0151503477246
19.9017003830522,38.169889813289
20.4342853091657,13.2238672114909
48.9981953520328,19.8258183617145
33.8149328809232,19.7297094389796
37.3240629769862,22.5565843842924
40.7959372829646,27.636885959655
