"pi","gamma","phi","sa"
19.4463014817723,0.358190477870021,0.712750836307532,0.786450733756999
11.647776407016,0.604876530930576,0.857602740721947,0.481915919491378
48.749060334448,0.558961475525343,0.377129444462956,0.331486712452158
22.3262635913936,0.567596025576099,0.323929382308979,0.632447835793351
12.1015954096584,0.463377374493971,0.49184443651257,0.537448999995321
17.3950214831109,0.639125434098045,0.228069256329261,0.210955416073203
8.86868011872597,0.286434083617947,0.667653282084815,0.619519734670585
10.9400692309315,0.363628942887985,0.263544162932692,0.647853875652536
9.97927353426221,0.337310925038437,0.417185714573566,0.501160233338869
52.0205676032978,0.627773167760801,0.634858251870906,0.537402967821701
17.1408692968158,0.495228439110309,0.441374508223194,0.850756542335511
13.3155146590187,0.424363712111964,0.306602016060271,0.603749674691631
20.0667833113479,0.681078151846456,0.443379025738055,0.278506365292606
15.4364483491363,0.602517764935463,0.385610106581311,0.647047778824526
17.9465783464584,0.585714898711137,0.224872168249643,0.647670610656981
24.9500694469233,0.46187968772989,0.526672618516589,0.624652703324193
8.84767613828737,0.441726917045726,0.360091125212525,0.578454030739431
11.0139874720338,0.420227801724004,0.386665066614372,0.585271912915043
40.2484487676392,0.320215738719343,0.619805743817857,0.847585175447902
13.3150289281879,0.467591573192229,0.36644039426769,0.405334284919564
17.0164538655665,0.406763677621255,0.619201897045274,0.511544909099121
16.9332268037976,0.516923809850809,0.531288799472051,0.554700843482114
16.2618477567291,0.403945127709909,0.698201546150943,0.493500509550275
37.1652049325896,0.669450736704917,0.756688677324426,0.644454078314774
9.39000492389799,0.420741631060305,0.459514349238096,0.389881046038537
11.2929477918343,0.177939674064764,0.387578590613538,0.623385662092626
28.8315104038114,0.29837453766618,0.444097297859721,0.589905710651053
26.1977574445214,0.589314407954218,0.435860420911601,0.725508475350869
27.9997359849761,0.314640632428273,0.290252646452862,0.484908792414833
31.8962541083543,0.490420511923139,0.532405135946616,0.444406544725287
11.2305784877795,0.537011374460276,0.696807407896267,0.819129707201465
13.3399299777637,0.52388629402156,0.535333579822105,0.39570411664831
12.2046016203989,0.6710686223651,0.611313773259182,0.62417446788636
39.6223334688273,0.574908523862,0.483075606672953,0.336435367217852
10.6276735560256,0.461339083516799,0.575536937522187,0.664438098747579
13.2114946988717,0.275819277434297,0.509050540456085,0.465581013357199
31.8498504970262,0.574231536509684,0.493843986162475,0.601909436705557
38.0191121512065,0.297724646399826,0.347360542391094,0.323562548223491
30.9381749500776,0.45294439569566,0.629712711257967,0.638621504220849
23.4691325822191,0.552912132505857,0.168002365034285,0.56311453205708
