"nj","na"
46.95925203152,40.8085357304662
16.5570437163115,12.3122214432806
26.6909654065967,30.4209331795573
24.0609930455685,12.1868282929063
27.0113087445498,10.244606398046
26.061327541247,29.0894133411348
24.1715753637254,44.1116579994559
23.6392552405596,49.0565596707165
22.8347742557526,27.7856426220387
20.1158524863422,19.0942870359868
28.0826044734567,35.1363579183817
31.329306429252,19.2494364734739
27.8282482177019,33.7003571540117
11.9441295135766,44.2069982457906
39.5592098962516,18.000219212845
13.3554973173887,16.187388561666
23.2803241349757,47.1885228343308
12.820859560743,26.33704691194
32.4219632335007,48.9256614074111
30.4166454449296,19.6588531881571
32.9040370602161,12.7515512425452
12.7544197905809,35.3110917005688
43.8125015143305,48.3524291589856
49.0871744509786,17.7027528267354
11.9781771767884,24.2053117416799
23.5061696823686,48.6783522646874
10.5140980705619,31.7480873409659
22.6730407681316,28.3569864928722
31.2532600853592,34.6456392202526
39.7666691523045,49.6860850136727
16.2966876104474,11.2387266475707
34.6978051960468,43.1423433497548
39.5395853091031,31.61999264732
22.8380294144154,14.2483373824507
30.3367549087852,23.7366795260459
24.5616854727268,15.923305042088
43.291885368526,19.1035954840481
35.7968202419579,16.6961617209017
47.8646572679281,43.3096951432526
38.3026012312621,22.7308526169509
11.650190576911,48.3679283130914
28.9489300735295,17.6643274445087
20.8465435169637,25.3807004075497
25.6861188448966,10.968848830089
21.5618754457682,11.7553412728012
16.2434688955545,46.6148553043604
44.2068921588361,27.0241735782474
25.4593721497804,32.1013404149562
34.5169206522405,44.0854841843247
49.7176906652749,34.820107286796
24.2996481712908,21.7888937704265
23.5997168067843,27.8470999374986
19.9637992121279,15.6427025515586
27.0703858230263,27.9021444451064
39.8106396198273,11.2872377969325
24.0258880332112,33.7594801001251
33.9015355613083,18.3599618729204
19.5278051495552,24.478865256533
30.0260919053108,16.1601985991001
28.5758661665022,47.9962120018899
10.860702348873,34.5319953095168
16.7670718673617,24.8462920915335
48.6936715338379,45.4598666355014
28.2524375338107,23.5242403578013
25.577982859686,32.0365727413446
12.2862414270639,18.0840490944684
30.2303500752896,23.0591769795865
17.2706157434732,17.1970549412072
35.5787623394281,29.6186796016991
23.1783027946949,37.9609567020088
28.9261462446302,23.8983990717679
46.2541996967047,30.7775112520903
24.7506381757557,39.178524017334
48.320180401206,47.8694777749479
40.4004896432161,24.6140634827316
18.9517336618155,43.0880613438785
27.1498414874077,13.7001252360642
48.7285103555769,46.609815414995
44.7310819663107,43.5161820054054
25.630948767066,26.689376886934
15.2446544449776,17.9364659264684
28.4356826543808,15.7012381404638
22.871466493234,17.5395460147411
16.428634589538,48.2095953542739
46.9471198972315,40.9452077466995
41.4279249776155,44.5705487206578
46.2700647581369,25.6111011374742
25.2831294201314,17.0233100838959
25.0131830293685,14.9453261774033
46.5175315085799,32.9983398318291
17.0421458035707,29.7824303619564
39.647926138714,31.7789411079139
40.7702781911939,12.3237994592637
17.655174434185,12.9979420546442
11.4340004138649,11.4883232302964
26.7530070059001,27.0820714905858
18.6149407736957,25.7133911084384
19.0420627221465,39.5009124092758
13.0793508142233,38.5580315813422
39.2671429086477,45.5426439829171
