"pi","gamma","phi","sa"
20.4400271297039,0.365927750755996,0.223836128688281,0.656203675628735
22.6501301820249,0.590620435662795,0.727322579243002,0.347258111241328
13.674691144772,0.4774043891634,0.306191063042722,0.278961641242484
13.4694890871394,0.407525043062164,0.524620416270398,0.367635516319466
14.5406807830385,0.522543270791028,0.675896082842055,0.311791809370895
9.60821282366073,0.231676411825777,0.588104765893151,0.575413265933591
2.80178053060361,0.527017350522341,0.780543596065171,0.485232064862615
8.42146335564607,0.498571909377694,0.677907053260718,0.379080821990462
8.59040130340829,0.561921849413323,0.417357679816508,0.708554470344574
14.2526763324205,0.657824644698759,0.655788334476666,0.403241879756559
