"nj","na"
44.2746986728162,47.2245969437063
46.350884269923,35.4779909178615
27.5993975251913,40.6072722561657
21.2405547685921,39.4921829551458
46.2779914308339,10.5794010590762
22.0885738730431,30.3639593720436
45.5933724343777,27.6361851207912
26.5969556942582,30.6279807444662
12.646272405982,16.0247401613742
24.3228963017464,22.0535176340491
10.116597302258,42.6999751199037
33.3876881655306,11.0747362207621
25.5950336530805,40.4000309947878
12.4003347195685,33.6426197830588
32.9898743517697,31.5858431626111
48.2242903579026,11.9993906375021
45.7342592719942,21.2145430129021
23.4578425809741,43.7454253342003
31.6581308841705,26.8738568760455
34.4605119153857,26.7392669897527
38.843138916418,14.5317777525634
42.6171715371311,36.471830168739
46.4901100844145,43.8994720764458
13.4036727715284,43.4958586283028
33.2118012849241,11.3203639350832
10.7180361263454,11.0639144573361
49.3934061191976,24.9994781333953
32.5670102890581,29.4104032497853
41.9981901720166,40.6156744156033
34.3974023684859,13.7373248487711
24.6749662328511,49.158091712743
17.5662358198315,42.6657103653997
22.6490614004433,14.5098900794983
34.3616159912199,18.6376253049821
43.4212458040565,42.6148438546807
49.6012512780726,17.1567765902728
41.5641061961651,43.3556989114732
38.7365797255188,31.3137395959347
19.3844227772206,22.5985784456134
10.4118323046714,47.8634106833488
